"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"58","all","studylength_cat","Less than 6 Months","Random","0.71","[0.52; 0.98]",-2,0,22,2.35,"[1.94;2.84]",0.82,"[0.74;0.88]",0.63,"[0.38;0.94]",0.4,"[0.14;0.88]",115.92,0
"59","all","studylength_cat","More than 6 Months","Fixed","0.76","[0.65; 0.89]",-3.313,0.001,9,1.93,"[1.38;2.7]",0.73,"[0.47;0.86]",0.59,"[0.26;1.27]",0.34,"[0.07;1.61]",29.77,0
"60","all","studylength_cat","More than 6 Months","Random","0.61","[0.37; 1.02]",-2,0,9,1.93,"[1.38;2.7]",0.73,"[0.47;0.86]",0.59,"[0.26;1.27]",0.34,"[0.07;1.61]",29.77,0
"61","all","studylength_cat2","Less than 12 Months","Fixed","0.93","[0.84; 1.03]",-1.319,0.187,24,2.32,"[1.94;2.79]",0.81,"[0.73;0.87]",0.6,"[0.36;0.87]",0.36,"[0.13;0.76]",124.15,0
"62","all","studylength_cat2","Less than 12 Months","Random","0.70","[0.53; 0.94]",-3,0,24,2.32,"[1.94;2.79]",0.81,"[0.73;0.87]",0.6,"[0.36;0.87]",0.36,"[0.13;0.76]",124.15,0
"63","all","studylength_cat2","More than 12 Months","Fixed","0.82","[0.68; 0.98]",-2.15,0.032,7,2.11,"[1.46;3.04]",0.77,"[0.53;0.89]",0.69,"[0.31;1.73]",0.48,"[0.1;2.98]",26.64,0
"64","all","studylength_cat2","More than 12 Months","Random","0.60","[0.29; 1.26]",-2,0,7,2.11,"[1.46;3.04]",0.77,"[0.53;0.89]",0.69,"[0.31;1.73]",0.48,"[0.1;2.98]",26.64,0
"65","all","Diversion","diversion","Fixed","0.51","[0.41; 0.63]",-6.133,0,6,1.37,"[1;2.18]",0.47,"[0;0.79]",0.4,"[0;1.21]",0.16,"[0;1.46]",9.4,0.094
"66","all","Diversion","diversion","Random","0.43","[0.25; 0.72]",-4,0,6,1.37,"[1;2.18]",0.47,"[0;0.79]",0.4,"[0;1.21]",0.16,"[0;1.46]",9.4,0.094
"67","all","Diversion","prison","Fixed","0.68","[0.63; 0.72]",-11.371,0,44,2.84,"[2.52;3.2]",0.88,"[0.84;0.9]",0.64,"[0.45;0.82]",0.4,"[0.2;0.67]",345.72,0
"68","all","Diversion","prison","Random","0.61","[0.49; 0.76]",-5,0,44,2.84,"[2.52;3.2]",0.88,"[0.84;0.9]",0.64,"[0.45;0.82]",0.4,"[0.2;0.67]",345.72,0
"69","arrest","location_Simon","community","Fixed","0.38","[0.32; 0.44]",-12.968,0,9,2.48,"[1.85;3.33]",0.84,"[0.71;0.91]",0.74,"[0.32;1.63]",0.55,"[0.11;2.67]",49.29,0
"70","arrest","location_Simon","community","Random","0.51","[0.27; 0.94]",-3,0,9,2.48,"[1.85;3.33]",0.84,"[0.71;0.91]",0.74,"[0.32;1.63]",0.55,"[0.11;2.67]",49.29,0
"71","arrest","location_Simon","institution","Fixed","0.74","[0.64; 0.85]",-4.326,0,8,1.52,"[1.03;2.26]",0.57,"[0.05;0.8]",0.35,"[0.02;0.85]",0.12,"[0;0.73]",16.22,0.023
"72","arrest","location_Simon","institution","Random","0.60","[0.43; 0.84]",-4,0,8,1.52,"[1.03;2.26]",0.57,"[0.05;0.8]",0.35,"[0.02;0.85]",0.12,"[0;0.73]",16.22,0.023
"73","arrest","location_Simon","both","Fixed","0.76","[0.59; 0.97]",-2.22,0.026,5,1.24,"[1;2.02]",0.35,"[0;0.75]",0.25,"[0;0.94]",0.06,"[0;0.88]",6.13,0.19
"74","arrest","location_Simon","both","Random","0.75","[0.49; 1.15]",-2,0,5,1.24,"[1;2.02]",0.35,"[0;0.75]",0.25,"[0;0.94]",0.06,"[0;0.88]",6.13,0.19
"75","arrest","location_Simon","not mentioned","Fixed","0.37","[0.15; 0.89]",-2.21,0.027,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"76","arrest","location_Simon","not mentioned","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"77","arrest","Pathway1","diversion","Fixed","0.30","[0.15;  0.57]",-3.629,0,2,1.22,"[NA;NA]",0.33,"[NA;NA]",0.38,"[NA;NA]",0.15,"[NA;NA]",1.48,0.223
"78","arrest","Pathway1","diversion","Random","0.30","[0.00; 57.68]",-3,0,2,1.22,"[NA;NA]",0.33,"[NA;NA]",0.38,"[NA;NA]",0.15,"[NA;NA]",1.48,0.223
"79","arrest","Pathway1","community","Fixed","0.41","[0.35; 0.47]",-12.627,0,10,2.45,"[1.85;3.24]",0.83,"[0.71;0.9]",0.63,"[0.26;1.32]",0.4,"[0.07;1.75]",54.02,0
"80","arrest","Pathway1","community","Random","0.56","[0.35; 0.91]",-3,0,10,2.45,"[1.85;3.24]",0.83,"[0.71;0.9]",0.63,"[0.26;1.32]",0.4,"[0.07;1.75]",54.02,0
"81","arrest","Pathway1","institution","Fixed","0.76","[0.66; 0.87]",-3.97,0,8,1.42,"[1;2.12]",0.5,"[0;0.78]",0.36,"[0;0.89]",0.13,"[0;0.8]",14.1,0.049
"82","arrest","Pathway1","institution","Random","0.65","[0.46; 0.90]",-3,0,8,1.42,"[1;2.12]",0.5,"[0;0.78]",0.36,"[0;0.89]",0.13,"[0;0.8]",14.1,0.049
"83","arrest","Pathway1","both","Fixed","0.88","[0.63;  1.24]",-0.717,0.473,2,1.68,"[1;3.51]",0.64,"[0;0.92]",0.32,"[NA;NA]",0.1,"[NA;NA]",2.82,0.093
"84","arrest","Pathway1","both","Random","0.87","[0.02; 36.73]",0,1,2,1.68,"[1;3.51]",0.64,"[0;0.92]",0.32,"[NA;NA]",0.1,"[NA;NA]",2.82,0.093
