"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"55","arrest","approach","Individual","Random","0.81","[0.23;   2.81]",-1,1,3,1.48,"[1;2.77]",0.55,"[0;0.87]",0.4,"[0;3.35]",0.16,"[0;11.21]",4.4,0.111
"56","arrest","approach","unknown","Random","0.41","[0.22; 0.75]",-4,0,6,1.9,"[1.25;2.88]",0.72,"[0.36;0.88]",0.5,"[0.14;1.48]",0.25,"[0.02;2.2]",17.99,0.003
"57","arrest","approach","Group","Random","0.62","[0.46; 0.84]",-3,0,14,1.48,"[1.09;2]",0.54,"[0.16;0.75]",0.49,"[0.09;0.83]",0.24,"[0.01;0.69]",28.43,0.008
"58","arrest","Therapeutic","Not Therapeutic","Random","0.62","[0.44; 0.87]",-3,0,14,1.47,"[1.08;1.98]",0.53,"[0.15;0.75]",0.55,"[0.1;0.96]",0.3,"[0.01;0.91]",27.94,0.009
"59","arrest","Therapeutic","unknown","Random","0.27","[0.16; 0.46]",-32,0,2,1,"[NA;NA]",0,"[NA;NA]",0.06,"[NA;NA]",0,"[NA;NA]",0.14,0.712
"60","arrest","Therapeutic","Therapeutic","Random","0.62","[0.41; 0.93]",-3,0,7,1.5,"[1;2.29]",0.56,"[0;0.81]",0.36,"[0;0.94]",0.13,"[0;0.88]",13.53,0.035
"61","arrest","age_cat","Less Than 34","Random","0.46","[0.29; 0.73]",-4,0,10,2.39,"[1.8;3.17]",0.82,"[0.69;0.9]",0.57,"[0.24;1.19]",0.33,"[0.06;1.42]",51.37,0
"62","arrest","age_cat","34 and Older","Random","0.73","[0.53; 0.99]",-2,0,10,1.49,"[1.04;2.12]",0.55,"[0.08;0.78]",0.37,"[0.05;0.79]",0.14,"[0;0.63]",19.89,0.019
"63","arrest","studylength_cat","More than 6 Months","Random","0.69","[0.45; 1.04]",-3,0,5,1.23,"[1;2.01]",0.34,"[0;0.75]",0.34,"[0;1.51]",0.12,"[0;2.3]",6.1,0.192
"64","arrest","studylength_cat","Less than 6 Months","Random","0.59","[0.37; 0.96]",-2,0,10,1.52,"[1.07;2.16]",0.57,"[0.12;0.79]",0.62,"[0.12;1.31]",0.39,"[0.01;1.73]",20.82,0.013
"65","arrest","studylength_cat2","Less than 12 Months","Random","0.61","[0.40; 0.92]",-3,0,11,1.45,"[1.03;2.04]",0.53,"[0.06;0.76]",0.59,"[0.06;1.16]",0.34,"[0;1.35]",21.07,0.021
"66","arrest","studylength_cat2","More than 12 Months","Random","0.66","[0.34; 1.30]",-2,0,4,1.39,"[1;2.41]",0.48,"[0;0.83]",0.41,"[0;2.36]",0.17,"[0;5.56]",5.77,0.123
"67","arrest","Diversion","diversion","Random","0.30","[0.00; 57.68]",-3,0,2,1.22,"[NA;NA]",0.33,"[NA;NA]",0.38,"[NA;NA]",0.15,"[NA;NA]",1.48,0.223
